color_code,color_name,hex_code,manufacturer,deck
CSP-790,Budding Green,#C9D1B8,Benjamin Moore,Color Stories
CSP-795,Estate Sale,#ADAF93,Benjamin Moore,Color Stories
CSP-800,Secret Path,#88927B,Benjamin Moore,Color Stories
CSP-805,In the Garden,#6A7663,Benjamin Moore,Color Stories
CSP-810,Chimichurri,#495342,Benjamin Moore,Color Stories
CSP-815,Pistachio Ice Cream,#DBDABD,Benjamin Moore,Color Stories
CSP-820,Lichen Stone,#C3BFA0,Benjamin Moore,Color Stories
CSP-825,Thayer Green,#959577,Benjamin Moore,Color Stories
CSP-830,Peaceful Garden,#C9CCA0,Benjamin Moore,Color Stories
CSP-835,Spring has Sprung,#B6B996,Benjamin Moore,Color Stories
CSP-840,Barefoot in the Gras...,#9CA476,Benjamin Moore,Color Stories
CSP-845,Lime Sherbet,#E1DCAA,Benjamin Moore,Color Stories
CSP-850,Green Hydrangea,#D0CC8D,Benjamin Moore,Color Stories
CSP-855,Lilianna,#BDB979,Benjamin Moore,Color Stories
CSP-860,Granny Smith,#D2D357,Benjamin Moore,Color Stories
CSP-865,Limeade,#B1BE4E,Benjamin Moore,Color Stories
CSP-870,Green Thumb,#8EAE62,Benjamin Moore,Color Stories
CSP-875,Handmade Paper,#EEEACA,Benjamin Moore,Color Stories
CSP-880,Morning Walk,#D7D19A,Benjamin Moore,Color Stories
CSP-885,Turkish Bay Leaf,#CAC081,Benjamin Moore,Color Stories
CSP-890,Martini Olive,#BBB862,Benjamin Moore,Color Stories
CSP-895,Perfectly Pesto,#867E44,Benjamin Moore,Color Stories
CSP-900,Jungle Canopy,#5B5639,Benjamin Moore,Color Stories
CSP-905,Melted Butter,#F3E8BE,Benjamin Moore,Color Stories
CSP-910,Ray of Light,#F1E0A6,Benjamin Moore,Color Stories
CSP-915,Warm & Toasty®,#E2CB91,Benjamin Moore,Color Stories
CSP-920,Golden Thread,#D7BE70,Benjamin Moore,Color Stories
CSP-925,Spice Market,#BDA447,Benjamin Moore,Color Stories
CSP-930,Dragonwell,#967F38,Benjamin Moore,Color Stories
CSP-935,Sweet Cream,#F0E9CB,Benjamin Moore,Color Stories
CSP-940,Sundress,#F9E5B3,Benjamin Moore,Color Stories
CSP-945,Yellow Topaz,#EDD194,Benjamin Moore,Color Stories
CSP-950,Honeybee,#F0DA9B,Benjamin Moore,Color Stories
CSP-955,Hannah Banana,#E6C36A,Benjamin Moore,Color Stories
CSP-960,Goldsmith,#BC911F,Benjamin Moore,Color Stories
CSP-965,Knitted Cape,#F0E7CC,Benjamin Moore,Color Stories
CSP-970,Shortbread,#DCC396,Benjamin Moore,Color Stories
CSP-975,Walk on the Beach®,#D6B882,Benjamin Moore,Color Stories
CSP-980,Gilded Ballroom,#BC9E62,Benjamin Moore,Color Stories
CSP-985,Iced Coffee,#997F56,Benjamin Moore,Color Stories
CSP-990,Bittergreen,#87704C,Benjamin Moore,Color Stories
CSP-995,Butter Cookie,#EAE1C1,Benjamin Moore,Color Stories
CSP-1000,Garden Stone,#CABD97,Benjamin Moore,Color Stories
CSP-1005,Golden Divan,#BDA97B,Benjamin Moore,Color Stories
CSP-1010,Crumb Cake®,#E3D1AD,Benjamin Moore,Color Stories
CSP-1015,Candle Glow,#CEBD97,Benjamin Moore,Color Stories
CSP-1020,Trench Coat,#B6A07D,Benjamin Moore,Color Stories
CSP-1025,Ice Milk,#F0EDDA,Benjamin Moore,Color Stories
CSP-1030,Hidden Cove,#DFD7C0,Benjamin Moore,Color Stories
CSP-1035,Make Believe,#CBC1A7,Benjamin Moore,Color Stories
CSP-1040,Shiitake Mushroom,#AB9E82,Benjamin Moore,Color Stories
CSP-1045,Wet Clay,#96846B,Benjamin Moore,Color Stories
CSP-1050,Hope Chest,#6D5E4B,Benjamin Moore,Color Stories
CSP-1055,Cappuccino Froth,#F1E7D3,Benjamin Moore,Color Stories
CSP-1060,From the Archives,#E4CFAD,Benjamin Moore,Color Stories
CSP-1065,Natural Leather,#D7B38E,Benjamin Moore,Color Stories
CSP-1070,Warm Sunglow,#CD996C,Benjamin Moore,Color Stories
CSP-1075,Byzantine,#AC7242,Benjamin Moore,Color Stories
CSP-1080,Mexican Hot Chocola...,#8C5D2C,Benjamin Moore,Color Stories
CSP-1085,Face Powder,#EACBA7,Benjamin Moore,Color Stories
CSP-1090,Approaching Autumn,#DBAF86,Benjamin Moore,Color Stories
CSP-1095,Fire Glow,#BE8158,Benjamin Moore,Color Stories
CSP-1100,Peruvian Chili,#BE723C,Benjamin Moore,Color Stories
CSP-1105,Tandoori,#A65628,Benjamin Moore,Color Stories
CSP-1110,14 Carrots,#D27326,Benjamin Moore,Color Stories
CSP-1115,Tropical Fruit,#D2816E,Benjamin Moore,Color Stories
CSP-1120,Canyon Rock,#B36C5E,Benjamin Moore,Color Stories
CSP-1125,Brownberry,#915545,Benjamin Moore,Color Stories
CSP-1130,Tuscan Tile,#D7977A,Benjamin Moore,Color Stories
CSP-1135,Coral Bells,#BE7B65,Benjamin Moore,Color Stories
CSP-1140,Egyptian Clay,#AA5945,Benjamin Moore,Color Stories
CSP-1145,Tomato Tango,#C0402E,Benjamin Moore,Color Stories
CSP-1150,Paper Lantern,#AC4031,Benjamin Moore,Color Stories
CSP-1155,Hot Tamale,#AA3535,Benjamin Moore,Color Stories
CSP-1160,Lip Gloss,#BF7068,Benjamin Moore,Color Stories
CSP-1165,Cinnabar,#954645,Benjamin Moore,Color Stories
CSP-1170,Parisian Red®,#783A36,Benjamin Moore,Color Stories
CSP-1175,Pink Flamingo,#DF8581,Benjamin Moore,Color Stories
CSP-1180,Bubble Tea,#C96462,Benjamin Moore,Color Stories
CSP-1185,Heirloom Quilt,#B1635D,Benjamin Moore,Color Stories
CSP-1190,Embroidered Flower,#B54E52,Benjamin Moore,Color Stories
CSP-1195,Flamenco,#A12533,Benjamin Moore,Color Stories
CSP-1200,Cherry Burst,#A0243E,Benjamin Moore,Color Stories
