colorCode,colorName,hexCode
2045-40,Bahama Green,#25c6af
2045-30,Green Leaf,#019d7e
2045-20,Lawn Green,#017d62
2045-10,Green Bay,#015a4a
2046-70,Light Mint,#d6f5ee
2046-60,Misty Teal,#b5ede4
2046-50,Scuba Green,#82ded1
2046-40,Green Sponge,#23c4b0
2046-30,Cayman Lagoon,#019b80
2046-20,Garden Green,#017b64
2046-10,Calypso Green,#015b49
2047-70,Baby Green,#d9f4ed
2047-60,Ocean Spray,#bbebe3
2047-50,Shore House Green,#8cd9ce
2047-40,Capri Seas,#4cbdac
2047-30,Rolling Hill Green,#01917b
2047-20,Manor Green,#016c5c
2047-10,Forest Green,#184b44
2048-70,Barely Teal,#d4f2ef
2048-60,Jamaican Aqua,#b4e9e7
2048-50,Tropicana Cabana,#7fd6d5
2048-40,Poolside Blue,#20bab5
2048-30,Aruba Blue,#018c85
2048-20,Juniper,#016e67
2048-10,Sherwood Forest,#014f4b
2049-70,Icing on the Cake,#ddf1ee
2049-60,Forget Me Not,#c1e4e4
2049-50,Spectra Blue,#99cfd1
2049-40,Peacock Blue,#62adaf
2049-30,Teal Ocean,#2a787c
2049-20,Oasis Blue,#235b5e
2049-10,Pacific Sea Teal,#284144
2050-70,Blue Bonnet,#def1ed
2050-60,Arctic Blue,#c5e4e2
2050-50,Waterfall,#9ececc
2050-40,Florida Keys Blue,#6eaaa8
2050-30,Newport Green,#3f7472
2050-20,Dollar Bill Green,#335755
2050-10,Salamander,#303f3f
2051-70,Crystal Blue,#d9ecea
2051-60,Bird's Egg,#bfddde
2051-50,Tranquil Blue,#95c3c6
2051-40,Majestic Blue,#63a0a1
2051-30,Casco Bay,#316f6e
2051-20,Pine Green,#2e5e5b
2051-10,Yukon Green,#305450
2052-70,Ice Blue,#d6eceb
2052-60,China Blue,#b4dcdf
2052-50,Pool Blue,#86c2c9
2052-40,Blue Spa,#4a9fa2
2052-30,Tropical Turquoise,#01716d
2052-20,Marine Aqua,#0b5b53
2052-10,Ocean Tropic,#1d4f43
2053-70,Morning Sky Blue,#d7ebed
2053-60,Tear Drop Blue,#b9dbe1
2053-50,Passion Blue,#8ec2cb
2053-40,Blue Lake,#579da6
2053-30,North Sea Green,#246e74
2053-20,Dark Teal,#265b5f
2053-10,Mallard Green,#2a4f50
2054-70,Clear Skies,#d3ebed
2054-60,Old Pickup Blue,#b1dbe4
2054-50,Seaside Blue,#81c1d0
2054-40,Blue Lagoon,#419dad
2054-30,Venezuelan Sea,#016c77
2054-20,Beau Green,#0b575b
2054-10,Bavarian Forest,#1e4644
2055-70,Innocence,#d2f0f2
2055-60,Serenity,#afe2eb
2055-50,Fairy Tale Blue,#79ccdb
2055-40,Bahaman Sea Blue,#13acbf
2055-30,Caribbean Blue Water,#017c8f
2055-20,Pacific Ocean Blue,#016070
2055-10,Teal,#154653
2056-70,Icy Moon Drops,#d4f1f1
2056-60,Blue Seafoam,#b0e4ea
2056-50,Baby Boy Blue,#7bd0da
2056-40,Cool Aqua,#19b0bc
2056-30,Surf Blue,#01818c
2056-20,Jade Garden,#01646d
2056-10,Tucson Teal,#0c474f
2057-70,Icy Blue,#d6ecef
2057-60,Blue Flower,#b6dbe5
2057-50,Turquoise Powder,#88c1d2
2057-40,Ash Blue,#4e9daf
2057-30,Naples Blue,#146c7c
2057-20,Galápagos Turquoise,#205864
2057-10,River Blue,#264a53
2058-70,Blue Angel,#d3ebf1
2058-60,Ocean Breeze,#b1dae9
2058-50,Aquarium Blue,#81c0d8
2058-40,Cool Blue,#429bb8
