Name,ID,L,a,b,LRV,R,G,B,,,
Montrose Rose,114,50.3812,22.0563,3.30146,0.187397,0.614031,0.413923,0.452125,156.577905,105.550365,115.291875
Sophistication,115,30.8038,28.5521,2.77816,0.0656856,0.443175,0.206878,0.272399,113.009625,52.753890,69.461745
Cordova Burgundy,116,33.0215,31.9202,6.87545,0.0754721,0.486959,0.213918,0.268395,124.174545,54.549090,68.440725
Satin Slipper,117,88.0381,8.88697,6.23202,0.721444,0.946754,0.842376,0.821134,241.422270,214.805880,209.389170
Miniature Posey,118,80.3958,13.8001,7.43746,0.573853,0.897445,0.745834,0.730429,228.848475,190.187670,186.259395
Angela Canyon,119,67.9532,18.2779,8.49992,0.379087,0.790096,0.601553,0.592871,201.474480,153.396015,151.182105
Summer's Eve,120,53.2315,22.7714,13.3626,0.212587,0.662964,0.438305,0.413264,169.055820,111.767775,105.382320
Savanna,121,39.4951,24.5024,16.3776,0.109494,0.528224,0.299677,0.265714,134.697120,76.417635,67.757070
Outrageous,122,36.6648,26.07,20.0196,0.093581,0.509179,0.267513,0.217922,129.840645,68.215815,55.570110
Monterey Chestnut,123,35.4101,25.0964,19.7546,0.0870506,0.490877,0.259081,0.208369,125.173635,66.065655,53.134095
Merlins Beard,124,90.8258,3.22408,6.29222,0.781007,0.936833,0.887696,0.850212,238.892415,226.362480,216.804060
Pout,125,83.8322,7.46257,7.60759,0.637438,0.892267,0.799729,0.764896,227.528085,203.930895,195.048480
Sauterne,126,78.1916,9.13875,8.04439,0.53538,0.842187,0.734305,0.701533,214.757685,187.247775,178.890915
Andes Ash,127,68.6272,11.685,9.42914,0.388289,0.756892,0.626204,0.591907,193.007460,159.682020,150.936285
Rocky Mountain,128,59.0759,12.8234,9.95397,0.271099,0.662089,0.524955,0.491579,168.832695,133.863525,125.352645
Arrowhead,129,47.7512,14.9331,12.677,0.165994,0.559237,0.406732,0.363576,142.605435,103.716660,92.711880
Evolution,130,35.5178,15.7484,14.4801,0.0875987,0.440086,0.288631,0.239994,112.221930,73.600905,61.198470
Cliffswallow,131,89.1437,3.97761,6.61374,0.744691,0.924278,0.867093,0.829447,235.690890,221.108715,211.508985
Summer Beige,132,80.5223,7.96521,8.38273,0.576115,0.860554,0.762374,0.723706,219.441270,194.405370,184.545030
Natchez,133,67.7691,9.06027,8.9635,0.376598,0.729499,0.624059,0.585817,186.022245,159.135045,149.383335
Baby Sprout,134,60.3057,9.46867,9.31147,0.284641,0.652972,0.546099,0.507607,166.507860,139.255245,129.439785
Emerging Leaf,135,53.8023,10.7314,11.3499,0.217889,0.595752,0.47721,0.42965,151.916760,121.68855,109.56075
Amazon Mist,136,43.7137,11.4442,11.9799,0.136411,0.496739,0.376975,0.329462,126.668445,96.128625,84.012810
Hideaway,137,32.9618,11.8494,14.5182,0.0751966,0.394212,0.275445,0.216342,100.524060,70.238475,55.167210
Coconut Macaroon,138,82.3349,4.76762,6.87046,0.609185,0.854756,0.790354,0.753618,217.962780,201.540270,192.172590
Souffl?,139,77.3534,5.70418,6.75104,0.521215,0.806352,0.734214,0.701313,205.619760,187.224570,178.834815
Cozy Cover,140,68.307,6.81603,7.88438,0.383899,0.718235,0.635447,0.598534,183.149925,162.038985,152.626170
Bush Buck,141,60.6175,7.83908,8.66309,0.288144,0.644635,0.553416,0.514883,164.381925,141.121080,131.295165
Ranch House,142,44.5307,8.14375,9.44887,0.142087,0.482093,0.393218,0.352893,122.933715,100.270590,89.987715
Connoisseur,143,35.5384,8.5343,10.1582,0.087704,0.396309,0.307595,0.265693,101.058795,78.436725,67.751715
Film Noir,144,25.299,6.02613,6.02417,0.0451279,0.279984,0.221963,0.200516,71.395920,56.600565,51.131580
Flax Flower,145,90.3582,4.21261,7.39858,0.770795,0.941435,0.87983,0.836967,240.065925,224.35665,213.426585
Truffles,146,87.2591,5.47532,7.56644,0.705361,0.916241,0.842351,0.802023,233.641455,214.799505,204.515865
Cave Painting,147,77.5144,7.57613,9.80514,0.523916,0.827407,0.730749,0.681257,210.988785,186.340995,173.720535
Oak Plank,148,71.8785,9.83745,12.495,0.434785,0.785751,0.664624,0.603337,200.366505,169.479120,153.850935
Pavilion Tan,149,62.663,11.5003,13.4044,0.311844,0.697855,0.564404,0.503335,177.953025,143.923020,128.350425
Temptation,150,50.1967,14.3094,15.0598,0.185838,0.584468,0.431905,0.370817,149.039340,110.135775,94.558335
Coffee Shop,151,37.4463,13.6363,14.1539,0.0978089,0.448072,0.312089,0.258718,114.258360,79.582695,65.973090
Flirt,152,88.4585,5.53083,13.1787,0.730225,0.941892,0.854529,0.773255,240.182460,217.904895,197.180025
Take-Out,153,83.9475,6.83913,13.9832,0.639649,0.901964,0.801567,0.718965,230.000820,204.399585,183.336075
Romulus ,154,80.1749,8.00822,16.9508,0.569917,0.873249,0.757193,0.657304,222.678495,193.084215,167.612520
Cowhide,155,71.032,11.7101,20.8799,0.422341,0.802232,0.649666,0.534963,204.569160,165.664830,136.415565
Skinny Dip,156,61.2844,13.8694,21.9862,0.295735,0.709868,0.542978,0.430308,181.016340,138.459390,109.728540
Dodge Pole,157,52.9641,16.624,24.6879,0.210133,0.638668,0.451738,0.332297,162.860340,115.193190,84.735735
Mover and Shaker,158,43.2886,14.7531,21.1433,0.133518,0.521658,0.363275,0.26628,133.022790,92.635125,67.90140
Senior Moment,159,90.3025,3.8459,10.7876,0.769585,0.945524,0.879582,0.810885,241.108620,224.293410,206.775675
Kingdom's Keys,160,84.8553,6.6961,15.411,0.657238,0.913882,0.811631,0.71807,233.039910,206.965905,183.10785
Tiny Calf,161,79.7446,9.336,17.6159,0.562301,0.87859,0.749032,0.648198,224.04045,191.003160,165.290490
Apple Pie,162,72.3951,9.06189,16.5923,0.442497,0.793358,0.671465,0.579123,202.306290,171.223575,147.676365
Camel Train,163,61.7052,10.0201,18.2049,0.300591,0.685639,0.557734,0.459978,174.837945,142.222170,117.294390
Veldrift,164,55.4418,11.5173,21.1067,0.233606,0.631558,0.490284,0.379159,161.047290,125.022420,96.685545
Cavern Sand,165,50.332,11.8917,21.5858,0.18698,0.580078,0.438711,0.327499,147.919890,111.871305,83.512245
Pastel Day,166,92.2654,3.35858,12.127,0.813008,0.966994,0.90243,0.822205,246.583470,230.11965,209.662275
First Date,167,84.7381,5.54084,15.303,0.654949,0.904243,0.813301,0.717363,230.581965,207.391755,182.927565
Candle Light,168,79.8686,7.30512,17.5388,0.564488,0.86607,0.755599,0.649603,220.84785,192.677745,165.648765
Fossil Tan,169,73.8624,9.47541,20.9118,0.4649,0.81927,0.685335,0.563094,208.91385,174.760425,143.588970
Blonde Shell,170,65.3083,11.8237,24.7974,0.344375,0.745176,0.589265,0.449476,190.019880,150.262575,114.616380
Golden Glove,171,52.7168,13.703,26.1366,0.207881,0.620943,0.456975,0.319064,158.340465,116.528625,81.361320
Chasm,172,44.507,13.7764,22.4784,0.14192,0.530428,0.377333,0.26816,135.259140,96.219915,68.38080
Pale Gingersnap,173,88.9006,2.35841,11.0283,0.739537,0.919335,0.867726,0.793476,234.430425,221.270130,202.336380
Maple Pecan,174,84.9148,3.87367,13.3841,0.658401,0.890619,0.81971,0.733134,227.107845,209.02605,186.949170
3am Latte,175,70.8866,5.52794,17.3606,0.420227,0.754714,0.664303,0.557319,192.452070,169.397265,142.116345
Country Dweller,176,63.8961,7.01711,17.2855,0.32674,0.688789,0.587825,0.487507,175.641195,149.895375,124.314285
Weaver's Tool,177,55.5215,8.96436,20.4954,0.234389,0.616314,0.497582,0.383493,157.160070,126.883410,97.790715
Cupcake,178,48.81,8.29529,19.4151,0.174402,0.54061,0.433029,0.32703,137.85555,110.422395,83.39265
Fall in Season,179,43.6516,9.83137,21.6225,0.135985,0.498783,0.379258,0.265001,127.189665,96.710790,67.575255
Fresh Linen,180,90.3068,1.81967,7.90009,0.769679,0.924176,0.885159,0.832172,235.664880,225.715545,212.203860
Ageless,181,85.0144,2.94246,9.69991,0.660353,0.877355,0.823687,0.761318,223.725525,210.040185,194.136090
Ivory Ridge,182,82.0964,3.61546,10.9852,0.604763,0.852548,0.789963,0.720591,217.399740,201.440565,183.750705
Moth Wing,183,77.1897,3.41336,11.8594,0.518478,0.798877,0.737303,0.662058,203.713635,188.012265,168.824790
Macadamia Brown,184,69.786,4.796,13.9374,0.404459,0.731881,0.654993,0.570386,186.629655,167.023215,145.448430
Noble Crown,185,51.0688,7.21678,16.6715,0.19328,0.553889,0.458099,0.366625,141.241695,116.815245,93.489375
Christmas Ornament,186,39.8583,6.38551,12.8504,0.111658,0.430205,0.352497,0.28721,109.702275,89.886735,73.23855
White Lightning ,187,90.6086,2.14788,8.77774,0.776252,0.932003,0.887554,0.82897,237.660765,226.326270,211.38735
Baguette,188,77.034,4.209,10.2927,0.515883,0.799632,0.733922,0.671956,203.906160,187.150110,171.348780
Delicate Honeysweet,189,71.156,4.23716,11.4991,0.424149,0.738328,0.671127,0.601802,188.273640,171.137385,153.459510
Village Crier,190,64.6978,5.34256,13.0806,0.336675,0.679433,0.600756,0.524756,173.255415,153.192780,133.812780
Dusty Path,191,51.5392,6.22045,14.1114,0.197376,0.548905,0.465433,0.388178,139.970775,118.685415,98.985390
Dapper,192,40.5781,7.01173,14.0572,0.11603,0.442588,0.357685,0.286118,112.859940,91.209675,72.960090
Alpha Male,193,40.2036,6.97466,16.1161,0.113741,0.441305,0.354004,0.269347,112.532775,90.271020,68.683485
August Moon,194,89.3553,0.534936,6.05592,0.749196,0.899565,0.878061,0.83527,229.389075,223.905555,212.99385
Mossy Shade,195,84.6536,1.71983,6.64668,0.653303,0.857618,0.823228,0.779756,218.692590,209.923140,198.837780
Overgrown,196,80.24,1.40473,7.95466,0.571075,0.80968,0.77568,0.722515,206.46840,197.79840,184.241325
Thistle Gray,197,74.6704,1.88912,8.70989,0.477555,0.754239,0.714494,0.658031,192.330945,182.195970,167.797905
Young Colt,198,64.8178,2.61295,9.80015,0.33818,0.65631,0.608965,0.548437,167.35905,155.286075,139.851435
Sandy Shoes,199,50.2,3.6198,12.0272,0.185866,0.515739,0.458536,0.388795,131.513445,116.926680,99.142725
Stony Field,200,36.9665,3.13442,9.99921,0.0951984,0.37888,0.333037,0.278486,96.61440,84.924435,71.013930
Sparkling Champagne,201,92.5076,-0.647979,6.66296,0.818476,0.927227,0.915954,0.86525,236.442885,233.568270,220.63875
Powder Cake,202,86.3855,1.27167,7.26793,0.687608,0.874886,0.843243,0.793892,223.095930,215.026965,202.442460
Whale Bone,203,81.0981,1.08538,7.911,0.586487,0.816642,0.785766,0.731966,208.243710,200.370330,186.651330
Marshy Habitat,204,71.8156,1.91037,7.83309,0.433852,0.721821,0.68423,0.634404,184.064355,174.47865,161.773020
Wood Shadow,205,65.5984,1.64515,8.59626,0.348074,0.655492,0.619504,0.564664,167.150460,157.973520,143.989320
Thatched Cottage,206,50.7803,2.32904,11.0833,0.190797,0.511821,0.467299,0.400438,130.514355,119.161245,102.111690
Ares Shadow,207,38.179,2.31661,8.75348,0.101887,0.383643,0.346277,0.297276,97.828965,88.300635,75.805380
Umber Style,208,91.9117,0.466675,5.6505,0.805067,0.926663,0.90674,0.866493,236.299065,231.21870,220.955715
Polished,209,86.6078,1.06057,5.48579,0.692097,0.871642,0.8465,0.809508,222.268710,215.8575,206.424540
Hidden Cove,210,80.5461,0.611109,6.08808,0.576541,0.802999,0.781204,0.739298,204.764745,199.207020,188.520990
Light Lichen,211,74.6361,1.31809,7.84198,0.477012,0.747931,0.715621,0.663814,190.722405,182.483355,169.272570
Big Spender,212,64.9756,2.6614,8.95537,0.340164,0.656648,0.610611,0.555978,167.445240,155.705805,141.774390
Coastal Fog,213,48.7941,3.00538,9.23303,0.174274,0.492935,0.446489,0.393829,125.698425,113.854695,100.426395
Wildwood,214,37.1235,3.44529,7.39662,0.0960477,0.378105,0.334154,0.296439,96.416775,85.209270,75.591945
Herare White,215,89.4831,0.74744,7.32777,0.751925,0.905579,0.878748,0.827203,230.922645,224.080740,210.936765
Earthling,216,85.8655,0.916271,8.38666,0.677186,0.869006,0.838208,0.779866,221.596530,213.743040,198.865830
Oak Tone,217,80.6202,1.15939,9.59136,0.57787,0.815618,0.780136,0.714549,207.982590,198.934680,182.209995
Drifting Sand,218,66.0055,1.58898,7.54939,0.35331,0.657244,0.624026,0.576182,167.597220,159.126630,146.926410
Camel's Hump,219,50.3472,2.35387,9.91619,0.187109,0.505576,0.463125,0.404088,128.921880,118.096875,103.042440
Monk's Cloth ,220,42.6763,2.54142,9.82782,0.129424,0.430398,0.388221,0.331948,109.751490,98.996355,84.646740
Brown Suede,221,34.4136,3.23863,10.0242,0.0820858,0.355148,0.309194,0.25539,90.562740,78.844470,65.12445
Au Natural,222,89.3992,-0.79743,9.99786,0.750132,0.899102,0.881148,0.805989,229.271010,224.692740,205.527195
White Elephant,223,87.5669,0.591124,10.0352,0.711688,0.889172,0.857485,0.786021,226.738860,218.658675,200.435355
Pebblebrook,224,83.6553,0.630262,11.1714,0.634056,0.848544,0.814227,0.73532,216.378720,207.627885,187.50660
Roman Ruins,225,74.156,1.29742,12.3167,0.469472,0.751871,0.709874,0.626502,191.727105,181.017870,159.758010
Sedge,226,68.4437,1.65176,11.9441,0.385769,0.692298,0.648703,0.570153,176.535990,165.419265,145.389015
Moonscape,227,53.6217,2.41231,12.9366,0.216202,0.544396,0.495078,0.415408,138.820980,126.244890,105.929040
Hannover Hills,228,40.22,2.21833,12.7111,0.113841,0.408969,0.365218,0.290524,104.287095,93.130590,74.083620
Feather Stone,229,88.6739,0.233761,6.3663,0.734752,0.890424,0.871191,0.825412,227.058120,222.153705,210.480060
Harrow Gate,230,85.2824,0.71773,7.54731,0.665623,0.859172,0.832418,0.779721,219.088860,212.266590,198.828855
Desert Mirage,231,81.8012,0.999835,8.31667,0.59932,0.824625,0.793553,0.736518,210.279375,202.356015,187.812090
Frond,232,75.9372,0.803415,8.57468,0.497851,0.759853,0.730646,0.672146,193.762515,186.314730,171.397230
Deep Marsh,233,66.971,1.92826,11.4614,0.365936,0.677615,0.632721,0.558557,172.791825,161.343855,142.432035
Industrial Strength,234,52.083,2.5366,13.6607,0.202182,0.530692,0.479394,0.395657,135.326460,122.245470,100.892535
Black Heath,235,39.3376,3.23464,12.0039,0.108564,0.405413,0.35477,0.287246,103.380315,90.46635,73.247730
