colorCode,colorName,hexCode
HC-85,Fairview Taupe,#7d7262
HC-86,Kingsport Gray,#958775
HC-87,Ashley Gray,#a69b8e
HC-88,Jamesboro Gold,#988567
HC-89,Northampton Putty,#ad9d7d
HC-90,Crown Point Sand,#cfc4a5
HC-91,Danville Tan,#bcac89
HC-92,Wheeling Neutral,#cfbfa1
HC-93,Carrington Beige,#dbd2b8
HC-94,Old Salem Gray,#a59b7a
HC-95,Sag Harbour Gray,#b9af96
HC-96,Richmond Gray,#cfc8ab
HC-97,Hancock Gray,#978e71
HC-98,Providence Olive,#ada283
HC-99,Abingdon Putty,#d7cfb2
HC-100,Gloucester Sage,#7c7766
HC-101,Hampshire Gray,#918a73
HC-102,Clarksville Gray,#b3aa91
HC-103,Cromwell Gray,#807867
HC-104,Copley Gray,#928b79
HC-105,Rockport Gray,#a9a396
HC-106,Crownsville Gray,#87806a
HC-107,Gettysburg Gray,#9b9785
HC-108,Sandy Hook Gray,#afa998
HC-109,Sussex Green,#817d65
HC-110,Wethersfield Moss,#908e72
HC-111,Nantucket Gray,#b0ac94
HC-112,Tate Olive,#828167
HC-113,Louisburg Green,#9d9f88
HC-114,Saybrook Sage,#b2b8a3
HC-115,Georgian Green,#bab891
HC-116,Guilford Green,#ccceaf
HC-117,Hancock Green,#d5dbc0
HC-118,Sherwood Green,#aab696
HC-119,Kittery Point Green,#c0ccae
HC-120,Van Alen Green,#cbd8c1
HC-121,Peale Green,#596b55
HC-122,Great Barrington Gree...,#7a8165
HC-123,Kennebunkport Green,#929e83
HC-124,Caldwell Green,#637168
HC-125,Cushing Green,#697767
HC-126,Avon Green,#74806b
HC-127,Fairmont Green,#64856a
HC-128,Clearspring Green,#769b81
HC-129,Southfield Green,#88ac94
HC-130,Webster Green,#65816d
HC-131,Lehigh Green,#76967e
HC-132,Harrisburg Green,#8bac99
HC-133,Yorktowne Green,#475b5e
HC-134,Tarrytown Green,#425853
HC-135,Lafayette Green,#496156
HC-136,Waterbury Green,#6d9288
HC-137,Mill Springs Blue,#7ea29b
HC-138,Covington Blue,#94b6ad
HC-139,Salisbury Green,#b1bba5
HC-140,Prescott Green,#bfcab8
HC-141,Hollingsworth Green,#cdd5c5
HC-142,Stratton Blue,#94aaa1
HC-143,Wythe Blue,#abbfb5
HC-144,Palladian Blue,#c2d2ca
HC-145,Van Courtland Blue,#87999f
HC-146,Wedgewood Gray,#adc0be
HC-147,Woodlawn Blue,#c2d1cb
HC-148,Jamestown Blue,#83a1a7
HC-149,Buxton Blue,#9eb7bb
HC-150,Yarmouth Blue,#b6c9ca
HC-151,Buckland Blue,#628798
HC-152,Whipple Blue,#779fb1
HC-153,Marlboro Blue,#96bac7
HC-154,Hale Navy,#444c57
HC-155,Newburyport Blue,#475667
HC-156,Van Deusen Blue,#495c6f
HC-157,Narragansett Green,#445256
HC-158,Newburg Green,#455a63
HC-159,Philipsburg Blue,#637986
HC-160,Knoxville Gray,#5f6d6d
HC-161,Templeton Gray,#788787
HC-162,Brewster Gray,#8b9797
HC-163,Duxbury Gray,#808780
HC-164,Puritan Gray,#98a09c
HC-165,Boothbay Gray,#abb3b1
HC-166,Kendall Charcoal,#686763
HC-167,Amherst Gray,#767771
HC-168,Chelsea Gray,#87857d
HC-169,Coventry Gray,#b9bbb7
HC-170,Stonington Gray,#cbccc6
HC-171,Wickham Gray,#d5d9d3
HC-172,Revere Pewter,#ccc7b9
HC-173,Edgecomb Gray,#dad4c5
HC-174,Lancaster Whitewash,#e7e2cc
HC-175,Briarwood,#a1998a
HC-176,Annapolis Gray,#cabfb0
HC-177,Richmond Bisque,#dac7a7
HC-178,Charcoal Slate,#65686a
HC-179,Platinum Gray,#a9aaa4
HC-180,Cliffside Gray,#cdd1cb
HC-181,Heritage Red,#9a0b15
HC-182,Classic Burgundy,#6a191b
HC-183,Country Redwood,#772d24
HC-184,Cottage Red,#672b26
HC-185,Tudor Brown,#503b31
HC-186,Charleston Brown,#75533a
HC-187,Black Forest Green,#252f2d
HC-188,Essex Green,#28372f
HC-189,Chrome Green,#0c422f
HC-190,Black,#323233
HC-191,Hamilton Blue,#607780
