colorCode,colorName,hexCode
CC-784,Clear Sailing,#84b9d1
CC-786,Summer Day,#98c4e0
CC-788,Watercolor,#bdd5de
CC-790,Polar Sky,#ccdee3
CC-800,Blue Nose,#6488a0
CC-810,Hudson Bay,#405367
CC-812,Five Dollar Bill,#82a6c1
CC-814,Glace Bay,#9bb5c8
CC-816,Athabasca,#b2c0c8
CC-818,Early Morning,#9cb2bc
CC-820,Airway,#b5c6d8
CC-830,Stratford Blue,#7786a2
CC-840,Blue Heron,#5d6b86
CC-842,Mistral,#11567e
CC-844,Winter's Eve,#41739d
CC-846,Lazy Sunday,#5f90b7
CC-848,Mineral Springs,#afd4e6
CC-850,Blue Ice,#bbcce0
CC-860,Blue Nova,#5c6e93
CC-870,Jet Blue,#424b63
CC-872,Delphinium,#314d8a
CC-874,Mosaic,#3963a4
CC-876,Mariner's Tale,#6c8eb4
CC-878,H2O,#a2c0d6
CC-880,Violet Mist,#cad1d9
CC-890,Blue Pearl,#94a1be
CC-900,Blue Gaspe,#5d6375
CC-902,Waterdrop,#5d7ab4
CC-904,Cascade,#8eaeda
CC-906,Summer Mist,#9eb3d1
CC-908,Frozen Canal,#a6b8ce
CC-910,Whirlpool,#dfe3e4
CC-920,Yukon Sky,#a1a7b7
CC-930,Amethyst Shadow,#6f7283
CC-932,North Sea,#2c3c4d
CC-934,In the Twilight,#757e93
CC-936,Citadel,#94a7bf
CC-938,Ice Sculpture,#c8d6e5
CC-940,Blue Viola,#adb4cb
CC-950,Queen's Wreath,#7d829e
CC-960,French Violet,#6a6e87
CC-962,Blackberry Punch,#404251
CC-964,Blue Grotto,#363a64
CC-966,Wizard,#41476e
CC-968,Basic Blue,#40467e
CC-970,Heather Field,#a7a7be
CC-980,Purple Haze,#838093
CC-990,Super Nova,#524d5b
