color_code,color_name,hex_code,manufacturer,deck
CW-605,Palace Blue,#5EA0B7,Benjamin Moore,Williamsburg
CW-610,Lafayette Blue,#6DA7C5,Benjamin Moore,Williamsburg
CW-615,Randolph Blue,#3D83A0,Benjamin Moore,Williamsburg
CW-620,Finley Blue,#4681A9,Benjamin Moore,Williamsburg
CW-625,Prussian Blue,#335B7E,Benjamin Moore,Williamsburg
CW-630,Washington Blue,#314757,Benjamin Moore,Williamsburg
CW-635,Nelson Blue,#CFD7D1,Benjamin Moore,Williamsburg
CW-640,Pearl,#A8B1AA,Benjamin Moore,Williamsburg
CW-645,Apollo Blue,#778584,Benjamin Moore,Williamsburg
CW-650,Palace Pearl,#C7D1D3,Benjamin Moore,Williamsburg
CW-655,Greenhow Blue,#ADC8D5,Benjamin Moore,Williamsburg
CW-660,Chiswell Blue,#82939C,Benjamin Moore,Williamsburg
CW-665,Powell Gray,#5B666D,Benjamin Moore,Williamsburg
CW-670,Azurite,#527D8F,Benjamin Moore,Williamsburg
CW-675,Brush Blue,#425058,Benjamin Moore,Williamsburg
CW-680,Mopboard Black,#38393A,Benjamin Moore,Williamsburg
CW-685,Ambler Slate,#585A5B,Benjamin Moore,Williamsburg
CW-690,Bracken Slate,#5F6464,Benjamin Moore,Williamsburg
CW-695,Lampblack,#7F8282,Benjamin Moore,Williamsburg
CW-700,Slate,#A4A9A9,Benjamin Moore,Williamsburg
CW-705,Tucker Gray,#919799,Benjamin Moore,Williamsburg
CW-710,Bruton White,#D6D2C8,Benjamin Moore,Williamsburg
CW-715,Bone Black,#BAB9AF,Benjamin Moore,Williamsburg
CW-720,Geddy Gray,#80817B,Benjamin Moore,Williamsburg
